country,treaty,signature date,signature time,ratification date,ratification time,accession date,accession timeCanada,Anti-Personnel Mine Ban Convention,1997-12-03,0,1997-12-03,0,,
Canada,Treaty on Conventional Armed Forces in Europe (CFE),1990-11-19,0,1991-11-22,368,,
Canada,Chemical Weapons Convention,1993-01-13,0,1995-09-26,986,,
Canada,Outer Space Treaty,1967-01-27,0,1967-10-10,256,,
Canada,Inter-American Convention on Transparency,1999-06-07,0,1999-10-18,133,,
Canada,Antarctic Treaty,,,,,1988-05-04,10382
Canada,International Convention for the Suppression of Acts of Nuclear Terrorism,2005-09-14,0,2013-11-21,2990,,
Canada,Treaty on the Non-Proliferation of Nuclear Weapons (NPT),1968-07-23,22,1969-01-08,169,,
Canada,Convention on Certain Conventional Weapons,1981-04-10,0,1994-06-24,4823,,
Canada,Partial Test Ban Treaty,1963-08-08,0,1964-01-28,173,,
Canada,1925 Geneva Protocol,1925-06-17,0,1930-05-06,1784,,
Canada,Convention on Cluster Munitions,2008-12-03,0,2015-03-16,2294,,
Canada,Convention on Environmental Modification Techniques (ENMOD),1977-05-18,0,1981-06-11,1485,,
Canada,Biological Weapons Convention,1972-04-10,0,1972-09-18,161,,
Canada,Treaty on Open Skies,1992-03-24,0,1992-07-21,119,,
Canada,Inter-American Convention on Firearms,1997-11-14,0,,,,
Canada,Comprehensive Nuclear-Test-Ban Treaty,1996-09-24,0,1998-12-18,815,,
Canada,Sea-Bed Treaty,1971-02-11,0,1972-05-17,461,,
Sao Tome and Principe,Anti-Personnel Mine Ban Convention,1998-04-30,148,2003-03-31,1796,,
Sao Tome and Principe,Kinshasa Convention,2010-11-19,0,2017-03-23,2316,,
Sao Tome and Principe,Chemical Weapons Convention,,,2003-09-09,,,
Sao Tome and Principe,Pelindaba Treaty,1996-07-09,89,,,,
Sao Tome and Principe,Treaty on the Prohibition of Nuclear Weapons,2017-09-20,0,,,,
Sao Tome and Principe,International Convention for the Suppression of Acts of Nuclear Terrorism,2005-12-19,96,,,,
Sao Tome and Principe,Treaty on the Non-Proliferation of Nuclear Weapons (NPT),,,,,1983-07-20,5497
Sao Tome and Principe,Convention on Cluster Munitions,2008-12-03,0,,,,
Sao Tome and Principe,Convention on Environmental Modification Techniques (ENMOD),,,,,1979-10-05,870
Sao Tome and Principe,Biological Weapons Convention,,,,,1979-08-24,2692
Sao Tome and Principe,Arms Trade Treaty,2014-12-19,564,,,,
Sao Tome and Principe,Comprehensive Nuclear-Test-Ban Treaty,1996-09-26,2,,,,
Sao Tome and Principe,Sea-Bed Treaty,,,,,1979-08-24,3116
Turkmenistan,Anti-Personnel Mine Ban Convention,1997-12-03,0,1998-01-19,47,,
Turkmenistan,Comprehensive Nuclear-Test-Ban Treaty,1996-09-24,0,1998-02-20,514,,
Turkmenistan,Treaty on the Non-Proliferation of Nuclear Weapons (NPT),,,,,1994-09-29,9586
Turkmenistan,Convention on Certain Conventional Weapons,,,,,2004-03-19,8379
Turkmenistan,Chemical Weapons Convention,1993-10-12,272,1994-09-29,352,,
Turkmenistan,Biological Weapons Convention,,,,,1996-01-11,8676
Turkmenistan,International Convention for the Suppression of Acts of Nuclear Terrorism,,,,,2008-03-28,926
Turkmenistan,Treaty on a Nuclear-Weapon-Free Zone in Central Asia (CANWFZ),2006-09-08,0,2009-01-17,862,,
Montenegro,Anti-Personnel Mine Ban Convention,,,,,2006-10-23,3246
Montenegro,Comprehensive Nuclear-Test-Ban Treaty,2006-10-23,3681,,,2006-10-23,3681
Montenegro,Treaty on the Non-Proliferation of Nuclear Weapons (NPT),,,,,2006-06-03,13851
Montenegro,Biological Weapons Convention,,,,,2006-06-03,12472
Montenegro,Convention on Certain Conventional Weapons,,,,,2006-10-23,9327
Montenegro,Chemical Weapons Convention,,,,,2006-10-23,5031
Montenegro,Partial Test Ban Treaty,,,,,2006-06-03,15640
Montenegro,Convention on Cluster Munitions,2008-12-03,0,2010-01-25,418,,
Montenegro,Sea-Bed Treaty,,,,,2006-06-03,12896
Montenegro,Outer Space Treaty,1967-01-27,0,,,,
Montenegro,Arms Trade Treaty,2013-06-03,0,2014-08-18,441,,
Montenegro,International Convention for the Suppression of Acts of Nuclear Terrorism,2006-10-23,404,,,,
Lithuania,Anti-Personnel Mine Ban Convention,1999-02-26,450,2003-05-12,1536,,
Lithuania,Chemical Weapons Convention,1993-01-13,0,1998-04-15,1918,,
Lithuania,Outer Space Treaty,,,,,2013-03-25,16859
Lithuania,International Convention for the Suppression of Acts of Nuclear Terrorism,2005-09-16,2,2007-07-19,671,,
Lithuania,Treaty on the Non-Proliferation of Nuclear Weapons (NPT),,,,,1991-09-23,8484
Lithuania,Convention on Certain Conventional Weapons,,,,,1998-06-03,6263
Lithuania,1925 Geneva Protocol,1925-06-17,0,1933-06-15,2920,,
Lithuania,Convention on Cluster Munitions,2008-12-03,0,2011-03-24,841,,
Lithuania,Convention on Environmental Modification Techniques (ENMOD),,,,,2002-04-16,9099
Lithuania,Biological Weapons Convention,,,,,1998-02-10,9437
Lithuania,Arms Trade Treaty,2013-06-03,0,2014-12-18,563,,
Lithuania,Treaty on Open Skies,,,,,2005-05-09,4794
Lithuania,Comprehensive Nuclear-Test-Ban Treaty,1996-10-07,13,2000-02-07,1218,,
Cambodia,Anti-Personnel Mine Ban Convention,1997-12-03,0,1999-07-28,602,,
Cambodia,Comprehensive Nuclear-Test-Ban Treaty,1996-09-26,2,2000-11-10,1506,,
Cambodia,Bangkok Treaty,1995-12-15,0,1997-03-27,468,,
Cambodia,Convention on Certain Conventional Weapons,,,,,1997-03-25,5828
Cambodia,Chemical Weapons Convention,1993-01-15,2,2005-07-19,4568,,
